home_id;home_score;home_elo;away_id;away_score;away_elo;elo_dif;goal_dif
39;2;1731.42956543;47;1;1649.06726074;82.36230468999997;1
42;0;1624.98095703;37;1;2013.86560059;-388.8846435600001;-1
33;4;1798.50878906;1211;2;1653.42834473;145.0804443300001;2
282;0;1672.52526855;110;1;1608.02722168;64.49804687000005;-1
41;1;1591.07312012;3429;0;1583.12329102;7.9498291000002155;1
1211;0;1645.45776367;38;1;1626.53674316;18.921020510000062;-1
37;4;1998.60681152;282;0;1660.2565918;338.35021972000004;4
1147;0;1554.08374023;33;1;1806.80053711;-252.71679687999995;-1
110;1;1617.94995117;45;2;1648.39331055;-30.443359379999947;-1
3429;0;1575.32421875;47;1;1643.02404785;-67.69982909999999;-1
36;4;1801.54724121;41;3;1596.52636719;205.02087402000006;1
219;1;1675.375;42;3;1622.23815918;53.13684082000009;-2
44;5;1822.34375;1730;1;1625.00012207;197.3436279299999;4
134;3;1774.69311523;39;1;1731.34960938;43.343505850000156;2
45;0;1656.69262695;37;0;2001.23999023;-344.5473632800001;0
1730;3;1619.4197998;219;3;1660.36474609;-40.94494628999996;0
282;0;1657.62341309;1211;0;1637.83959961;19.783813479999935;0
47;1;1650.7734375;134;4;1782.93640137;-132.1629638700001;-3
39;1;1723.10632324;3429;1;1567.5748291;155.53149413999995;0
42;1;1637.24841309;44;3;1827.92407227;-190.6756591799999;-2
33;2;1810.18408203;36;1;1804.1784668;6.005615229999876;1
38;1;1637.95825195;110;2;1609.65063477;28.30761718000008;-1
41;2;1593.89526367;1147;0;1550.70019531;43.19506836000005;2
110;1;1614.94946289;47;3;1635.86315918;-20.91369628999996;-2
37;4;1998.81665039;41;0;1600.11730957;398.69934081999986;4
134;0;1791.48754883;3429;0;1570.84741211;220.64013671999987;0
1147;1;1540.44421387;38;1;1626.0345459;-85.5903320299999;0
1211;0;1637.77709961;45;0;1661.58520508;-23.808105469999873;0
36;1;1789.00366211;282;2;1653.65222168;135.35144043000014;-1
219;2;1658.57971191;33;0;1800.74304199;-142.16333007999992;2
1730;1;1622.88464355;42;2;1628.98327637;-6.098632820000148;-1
44;3;1833.15979004;39;2;1716.94799805;116.21179198999994;1
38;3;1624.86401367;44;1;1837.33752441;-212.47351073999994;2
134;2;1785.05432129;110;1;1605.34362793;179.71069336000005;1
45;1;1662.18676758;36;3;1776.43127441;-114.24450683000009;-2
282;0;1666.2244873;219;0;1673.28527832;-7.060791020000124;0
39;1;1712.77038574;37;3;2000.57910156;-287.8087158200001;-2
41;0;1598.3548584;1730;4;1614.03369141;-15.678833010000062;-4
33;6;1786.03759766;42;0;1637.83422852;148.20336914000018;6
47;1;1650.65124512;1211;0;1637.17553711;13.475708010000062;1
3429;3;1577.28063965;1147;1;1541.61474609;35.665893560000086;2
1147;0;1540.06066895;282;0;1672.36779785;-132.30712889999995;0
37;2;2010.3659668;47;0;1659.99182129;350.37414551000006;2
